neigh,lot,budget,status,runtime_s,gap,y_price,y_price_out,y_log_in,y_log_out,cost,obj,floor1,floor2,area_1st,area_2nd,bsmt,beds,fullbath,halfbath,kitchen
OldTown,9434.0,200000.0,2,69.20600008964539,0.0,204376.0410674978,265033.84375,12.227476551092982,12.487616539001465,191359.32999999987,13016.711067497934,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
OldTown,11556.0,200000.0,2,70.24699997901917,0.0,204376.0410674978,265033.84375,12.227476551092982,12.487616539001465,191359.32999999987,13016.711067497934,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
OldTown,7438.0,500000.0,9,300.03399991989136,11.279579359284462,207622.92533940668,266453.8125,12.243370038621729,12.492959976196289,195216.82999999978,12406.095339406893,1.0,-0.0,450.0,0.0,384.0,2.0,1.0,-0.0,1.0
OldTown,9434.0,500000.0,9,300.0369999408722,11.279579359284462,207622.92533940668,266453.8125,12.243370038621729,12.492959976196289,195216.82999999978,12406.095339406893,1.0,-0.0,450.0,0.0,384.0,2.0,1.0,-0.0,1.0
OldTown,11556.0,500000.0,9,300.04900002479553,11.279579359284462,207622.92533940668,266453.8125,12.243370038621729,12.492959976196289,195216.82999999978,12406.095339406893,1.0,-0.0,450.0,0.0,384.0,2.0,1.0,-0.0,1.0
OldTown,7438.0,700000.0,9,300.04900002479553,43.580450954416186,215412.64498250317,277739.09375,12.28010812509005,12.534440994262695,208467.8299999997,6944.814982503478,1.0,-0.0,450.0,0.0,384.0,2.0,1.0,-0.0,1.0
OldTown,9434.0,700000.0,9,300.0610001087189,43.57971608615574,215412.64498250317,277739.09375,12.28010812509005,12.534440994262695,208467.8299999997,6944.814982503478,1.0,-0.0,450.0,0.0,384.0,2.0,1.0,-0.0,1.0
OldTown,11556.0,700000.0,9,300.04299998283386,43.580450954416186,215412.64498250317,277739.09375,12.28010812509005,12.534440994262695,208467.8299999997,6944.814982503478,1.0,-0.0,450.0,0.0,384.0,2.0,1.0,-0.0,1.0
SWISU,7438.0,200000.0,2,56.17799997329712,0.0,204141.33766732053,265875.34375,12.226327678742974,12.4907865524292,191359.32999999987,12782.007667320664,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
SWISU,9434.0,200000.0,2,54.75,0.0,204141.33766732053,265875.34375,12.226327678742974,12.4907865524292,191359.32999999987,12782.007667320664,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
SWISU,11556.0,200000.0,2,54.83500003814697,0.0,204141.33766732053,265875.34375,12.226327678742974,12.4907865524292,191359.32999999987,12782.007667320664,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
SWISU,7438.0,500000.0,9,300.0529999732971,17.298363627009273,198541.54289243888,257829.390625,12.198638262607421,12.460057258605957,190250.0,8291.542892438942,1.0,0.0,450.0,0.0,116.0,2.0,1.0,0.0,1.0
SWISU,9434.0,500000.0,9,300.0529999732971,17.298363627009273,198541.54289243888,257829.390625,12.198638262607421,12.460057258605957,190250.0,8291.542892438942,1.0,0.0,450.0,0.0,116.0,2.0,1.0,0.0,1.0
SWISU,11556.0,500000.0,9,300.0629999637604,17.298363627009273,198541.54289243888,257829.390625,12.198638262607421,12.460057258605957,190250.0,8291.542892438942,1.0,0.0,450.0,0.0,116.0,2.0,1.0,0.0,1.0
SWISU,7438.0,700000.0,9,300.0569999217987,55.244621926891966,245278.58420232576,328044.21875,12.409924597417422,12.700906753540039,250849.32999999967,-5570.74579767391,1.0,-0.0,450.0,0.0,430.9999999999999,2.0,1.0,-0.0,1.0
SWISU,9434.0,700000.0,9,300.12400007247925,55.244621926891966,245278.58420232576,328044.21875,12.409924597417422,12.700906753540039,250849.32999999967,-5570.74579767391,1.0,-0.0,450.0,0.0,430.9999999999999,2.0,1.0,-0.0,1.0
SWISU,11556.0,700000.0,9,300.0510001182556,55.244621926891966,245278.58420232576,328044.21875,12.409924597417422,12.700906753540039,250849.32999999967,-5570.74579767391,1.0,-0.0,450.0,0.0,430.9999999999999,2.0,1.0,-0.0,1.0
Landmrk,7438.0,200000.0,2,53.78800010681152,0.0009602170327386286,207259.63438383988,269623.75,12.241591730623023,12.504786491394043,194479.32999999987,12780.304383840004,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Landmrk,9434.0,200000.0,2,54.86500000953674,0.0009602170327386286,207259.63438383988,269623.75,12.241591730623023,12.504786491394043,194479.32999999987,12780.304383840004,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Landmrk,11556.0,200000.0,2,53.66799998283386,0.0009602170327386286,207259.63438383988,269623.75,12.241591730623023,12.504786491394043,194479.32999999987,12780.304383840004,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Landmrk,7438.0,500000.0,9,300.04199981689453,31.78486391422056,245491.64051256518,328489.71875,12.410798138266413,12.702263832092285,250849.3299999993,-5357.689487434109,1.0,-0.0,450.0,0.0,430.9999999999996,2.0,1.0,0.0,1.0
Landmrk,9434.0,500000.0,9,300.0409998893738,31.78486391422056,245491.64051256518,328489.71875,12.410798138266413,12.702263832092285,250849.3299999993,-5357.689487434109,1.0,-0.0,450.0,0.0,430.9999999999996,2.0,1.0,0.0,1.0
Landmrk,11556.0,500000.0,9,300.0390000343323,31.78486391422056,245491.64051256518,328489.71875,12.410798138266413,12.702263832092285,250849.3299999993,-5357.689487434109,1.0,-0.0,450.0,0.0,430.9999999999996,2.0,1.0,0.0,1.0
Landmrk,7438.0,700000.0,9,300.039999961853,11.501215246249151,205971.6735277001,267557.40625,12.235287166588613,12.497093200683594,194270.0,11701.673527700099,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Landmrk,9434.0,700000.0,9,300.04100012779236,11.501215246249151,205971.6735277001,267557.40625,12.235287166588613,12.497093200683594,194270.0,11701.673527700099,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Landmrk,11556.0,700000.0,9,300.0380001068115,11.501215246249151,205971.6735277001,267557.40625,12.235287166588613,12.497093200683594,194270.0,11701.673527700099,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Veenker,7438.0,200000.0,2,54.056999921798706,0.0009602170327386286,207259.63438383988,269623.75,12.241591730623023,12.504786491394043,194479.32999999987,12780.304383840004,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Veenker,9434.0,200000.0,2,53.729000091552734,0.0009602170327386286,207259.63438383988,269623.75,12.241591730623023,12.504786491394043,194479.32999999987,12780.304383840004,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Veenker,11556.0,200000.0,2,55.45799994468689,0.0009602170327386286,207259.63438383988,269623.75,12.241591730623023,12.504786491394043,194479.32999999987,12780.304383840004,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Veenker,7438.0,500000.0,9,300.0460000038147,31.78486391422056,245491.64051256518,328489.71875,12.410798138266413,12.702263832092285,250849.3299999993,-5357.689487434109,1.0,-0.0,450.0,0.0,430.9999999999996,2.0,1.0,0.0,1.0
Veenker,9434.0,500000.0,9,300.0380001068115,31.78486391422056,245491.64051256518,328489.71875,12.410798138266413,12.702263832092285,250849.3299999993,-5357.689487434109,1.0,-0.0,450.0,0.0,430.9999999999996,2.0,1.0,0.0,1.0
Veenker,11556.0,500000.0,9,300.0439999103546,31.78486391422056,245491.64051256518,328489.71875,12.410798138266413,12.702263832092285,250849.3299999993,-5357.689487434109,1.0,-0.0,450.0,0.0,430.9999999999996,2.0,1.0,0.0,1.0
Veenker,7438.0,700000.0,9,300.1139998435974,11.501215246249151,205971.6735277001,267557.40625,12.235287166588613,12.497093200683594,194270.0,11701.673527700099,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Veenker,9434.0,700000.0,9,300.0499999523163,11.501215246249151,205971.6735277001,267557.40625,12.235287166588613,12.497093200683594,194270.0,11701.673527700099,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Veenker,11556.0,700000.0,9,300.04299998283386,11.501215246249151,205971.6735277001,267557.40625,12.235287166588613,12.497093200683594,194270.0,11701.673527700099,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
